# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(5.05 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	0	0
2	0	0	0
2.25	0	0	0
2.5	0	1.27773e-05	9.2926e-07
2.75	0	6.22225e-05	3.92594e-06
3	0	0.000111661	6.46126e-06
3.25	0	0.000172768	9.14729e-06
3.5	0	0.000222212	1.10309e-05
3.75	0	0.000278323	1.29013e-05
4	0	0.000342212	1.47804e-05
4.25	0	0.000396101	1.61893e-05
4.5	0	0.000451657	1.74888e-05
4.75	0	0.000517209	1.88688e-05
5	0	0.000589425	2.02443e-05
