# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(4.65 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	0	0
2	0	0	0
2.25	0	8.33321e-06	7.4073e-07
2.5	0	5.88911e-05	4.41767e-06
2.75	0	0.000112779	7.68359e-06
3	0	0.00016833	1.05323e-05
3.25	0	0.00022444	1.29987e-05
3.5	0	0.000291107	1.55384e-05
3.75	0	0.000361663	1.78903e-05
4	0	0.00042833	1.98511e-05
4.25	0	0.000491666	2.1507e-05
4.5	0	0.00055666	2.30273e-05
4.75	0	0.000622772	2.44191e-05
5	0	0.000693326	2.5763e-05
