# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(2.15 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	2.33329e-05	9.33315e-06
1.25	0	0.000136104	3.94055e-05
1.5	0	0.000254992	6.20509e-05
1.75	0	0.000374992	7.91937e-05
2	0	0.000478326	9.06753e-05
2.25	0	0.000612215	0.000102577
2.5	0	0.000748326	0.000112476
2.75	0	0.000876104	0.00012022
3	0	0.000995554	0.000126346
3.25	0	0.00112889	0.000132207
3.5	0	0.00125611	0.000137054
3.75	0	0.00137222	0.000140924
4	0	0.00147222	0.000143865
4.25	0	0.00149222	0.000144388
4.5	0	0.00149222	0.000144388
4.75	0	0.00149222	0.000144388
5	0	0.00149222	0.000144388
