# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(2.85 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	1.1118e-06	2.9648e-07
1.5	0	5.22215e-05	1.00317e-05
1.75	0	0.000137786	2.22552e-05
2	0	0.00022612	3.20701e-05
2.25	0	0.000311114	3.96252e-05
2.5	0	0.000403892	4.63727e-05
2.75	0	0.000498336	5.20966e-05
3	0	0.000576669	5.61137e-05
3.25	0	0.00066278	5.98988e-05
3.5	0	0.000750566	6.3243e-05
3.75	0	0.000837242	6.61322e-05
4	0	0.000919457	6.85503e-05
4.25	0	0.00100112	7.06853e-05
4.5	0	0.00103001	7.1361e-05
4.75	0	0.00103001	7.1361e-05
5	0	0.00103001	7.1361e-05
