# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(1.85 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	3.33516e-06	2.22344e-06
1	0	0.000105005	4.28915e-05
1.25	0	0.000279454	8.94113e-05
1.5	0	0.000451125	0.000122111
1.75	0	0.00062389	0.000146792
2	0	0.000780557	0.000164199
2.25	0	0.000921668	0.000176742
2.5	0	0.00108833	0.000188863
2.75	0	0.00124666	0.000198459
3	0	0.00142776	0.000207746
3.25	0	0.0015822	0.000214535
3.5	0	0.00173276	0.000220271
3.75	0	0.00190609	0.000226049
4	0	0.00196609	0.000227814
4.25	0	0.00196609	0.000227814
4.5	0	0.00196609	0.000227814
4.75	0	0.00196609	0.000227814
5	0	0.00196609	0.000227814
