# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(1.25 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	3.27834e-05	4.37113e-05
0.75	0	0.000337231	0.000246677
1	0	0.000708336	0.000395119
1.25	0	0.00108223	0.000494823
1.5	0	0.00147999	0.000570587
1.75	0	0.00186943	0.000626222
2	0	0.00226721	0.00067042
2.25	0	0.00264888	0.000704346
2.5	0	0.00302334	0.000731579
2.75	0	0.00337836	0.000753095
3	0	0.00373224	0.000771243
3.25	0	0.00411947	0.000788264
3.5	0	0.00447668	0.000801872
3.75	0	0.00453835	0.000803928
4	0	0.00453835	0.000803928
4.25	0	0.00453835	0.000803928
4.5	0	0.00453835	0.000803928
4.75	0	0.00453835	0.000803928
5	0	0.00453835	0.000803928
