# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(5.25 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	0	0
2	0	0	0
2.25	0	0	0
2.5	0	1.11156e-06	8.08404e-08
2.75	0	4.05554e-05	2.47138e-06
3	0	9.3338e-05	5.17818e-06
3.25	0	0.000168341	8.47502e-06
3.5	0	0.000231116	1.08665e-05
3.75	0	0.00028556	1.26813e-05
4	0	0.000347782	1.45114e-05
4.25	0	0.000412226	1.61962e-05
4.5	0	0.000467227	1.74828e-05
4.75	0	0.000541112	1.90383e-05
5	0	0.000612228	2.03929e-05
