# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(3.15 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	1.77817e-05	3.38699e-06
1.75	0	9.72294e-05	1.47367e-05
2	0	0.000191683	2.52315e-05
2.25	0	0.000276119	3.2737e-05
2.5	0	0.00034278	3.75851e-05
2.75	0	0.00042278	4.24336e-05
3	0	0.000501113	4.64507e-05
3.25	0	0.00057278	4.96009e-05
3.5	0	0.000640565	5.21832e-05
3.75	0	0.000712228	5.4572e-05
4	0	0.000792782	5.69412e-05
4.25	0	0.000877229	5.9149e-05
4.5	0	0.000937787	6.05656e-05
4.75	0	0.000945006	6.07176e-05
5	0	0.000945006	6.07176e-05
