# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(3.55 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	1.66702e-05	2.38145e-06
2	0	0.000100558	1.17023e-05
2.25	0	0.000176119	1.84188e-05
2.5	0	0.000256115	2.42367e-05
2.75	0	0.000335003	2.90178e-05
3	0	0.000408336	3.27785e-05
3.25	0	0.000460003	3.50496e-05
3.5	0	0.000524447	3.75046e-05
3.75	0	0.000596115	3.98935e-05
4	0	0.00067279	4.21486e-05
4.25	0	0.000758898	4.43998e-05
4.5	0	0.000836122	4.62062e-05
4.75	0	0.000899457	4.75396e-05
5	0	0.000900567	4.75607e-05
