# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(1.95 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	7.27746e-05	2.91098e-05
1.25	0	0.000211112	6.59997e-05
1.5	0	0.00036112	9.45727e-05
1.75	0	0.000510561	0.000115921
2	0	0.000671114	0.00013376
2.25	0	0.000835003	0.000148328
2.5	0	0.000969447	0.000158106
2.75	0	0.00110834	0.000166524
3	0	0.00123945	0.000173248
3.25	0	0.00140111	0.000180354
3.5	0	0.00154943	0.000186004
3.75	0	0.00169221	0.000190763
4	0	0.00177609	0.00019323
4.25	0	0.00177831	0.000193288
4.5	0	0.00177831	0.000193288
4.75	0	0.00177831	0.000193288
5	0	0.00177831	0.000193288
