# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(5.65 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	0	0
2	0	0	0
2.25	0	0	0
2.5	0	0	0
2.75	0	1.05581e-05	6.39884e-07
3	0	6.83359e-05	3.60285e-06
3.25	0	0.000132787	6.43586e-06
3.5	0	0.00019445	8.78492e-06
3.75	0	0.000258337	1.09145e-05
4	0	0.000322226	1.27936e-05
4.25	0	0.000378893	1.42751e-05
4.5	0	0.000448337	1.58995e-05
4.75	0	0.000517784	1.73616e-05
5	0	0.000597782	1.88854e-05
