# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(5.55 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	0	0
2	0	0	0
2.25	0	0	0
2.5	0	0	0
2.75	0	1.83368e-05	1.11132e-06
3	0	8.00063e-05	4.27386e-06
3.25	0	0.000126124	6.301e-06
3.5	0	0.00018612	8.58658e-06
3.75	0	0.000239452	1.03643e-05
4	0	0.000297785	1.208e-05
4.25	0	0.000361674	1.37503e-05
4.5	0	0.00042723	1.52838e-05
4.75	0	0.000488894	1.6582e-05
5	0	0.000550553	1.77565e-05
