# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(4.05 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	0	0
2	0	2.05586e-05	2.28429e-06
2.25	0	8.33298e-05	7.86395e-06
2.5	0	0.000151111	1.27935e-05
2.75	0	0.000220548	1.70018e-05
3	0	0.000296104	2.08765e-05
3.25	0	0.000374437	2.43197e-05
3.5	0	0.000451104	2.72403e-05
3.75	0	0.000529993	2.98699e-05
4	0	0.000606668	3.21251e-05
4.25	0	0.000670563	3.37956e-05
4.5	0	0.000733348	3.52643e-05
4.75	0	0.000802793	3.67263e-05
5	0	0.000851125	3.76469e-05
