# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(4.45 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	0	0
2	0	0	0
2.25	0	2.16674e-05	1.92599e-06
2.5	0	8.11116e-05	6.24921e-06
2.75	0	0.000153877	1.06592e-05
3	0	0.000219431	1.40209e-05
3.25	0	0.000286098	1.69513e-05
3.5	0	0.00034332	1.91312e-05
3.75	0	0.00040832	2.12979e-05
4	0	0.000469431	2.30953e-05
4.25	0	0.00053166	2.47222e-05
4.5	0	0.000593876	2.61775e-05
4.75	0	0.000654438	2.74525e-05
5	0	0.000724442	2.87859e-05
