# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(0.55 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	3.3335e-05	4.44466e-05
0.75	0	7.1118e-05	6.96352e-05
1	0	0.000101674	8.18575e-05
1.25	0	0.000145004	9.34122e-05
1.5	0	0.000184448	0.000100925
1.75	0	0.000221115	0.000106163
2	0	0.000260559	0.000110546
2.25	0	0.000300003	0.000114052
2.5	0	0.000338883	0.00011688
2.75	0	0.000375552	0.000119102
3	0	0.00041833	0.000121296
3.25	0	0.00045333	0.000122834
3.5	0	0.000462774	0.000123194
3.75	0	0.000462774	0.000123194
4	0	0.000462774	0.000123194
4.25	0	0.000462774	0.000123194
4.5	0	0.000462774	0.000123194
4.75	0	0.000462774	0.000123194
5	0	0.000462774	0.000123194
