# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(2.55 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	2.66708e-05	7.11221e-06
1.5	0	0.000127223	2.62649e-05
1.75	0	0.000228903	4.07906e-05
2	0	0.00032667	5.16537e-05
2.25	0	0.000427226	6.0592e-05
2.5	0	0.000537782	6.86324e-05
2.75	0	0.000642782	7.4996e-05
3	0	0.000751115	8.05516e-05
3.25	0	0.00084279	8.45813e-05
3.5	0	0.000954459	8.88354e-05
3.75	0	0.00105223	9.20944e-05
4	0	0.00115278	9.50519e-05
4.25	0	0.00123056	9.70854e-05
4.5	0	0.00123611	9.72153e-05
4.75	0	0.00123611	9.72153e-05
5	0	0.00123611	9.72153e-05
