# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(3.25 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	9.44528e-06	1.7991e-06
1.75	0	6.16701e-05	9.25979e-06
2	0	0.000137229	1.76553e-05
2.25	0	0.000214459	2.45202e-05
2.5	0	0.000295015	3.03788e-05
2.75	0	0.000378348	3.54293e-05
3	0	0.000461681	3.97028e-05
3.25	0	0.000543903	4.3317e-05
3.5	0	0.000615575	4.60473e-05
3.75	0	0.000705009	4.90284e-05
4	0	0.000781125	5.12671e-05
4.25	0	0.000862235	5.33876e-05
4.5	0	0.0009339	5.5064e-05
4.75	0	0.000949455	5.53915e-05
5	0	0.000949455	5.53915e-05
