# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(5.95 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	0	0
2	0	0	0
2.25	0	0	0
2.5	0	0	0
2.75	0	0	0
3	0	3.88901e-05	1.99436e-06
3.25	0	0.000100557	4.70501e-06
3.5	0	0.00018668	7.9859e-06
3.75	0	0.000259456	1.04118e-05
4	0	0.000331678	1.2536e-05
4.25	0	0.000411678	1.46275e-05
4.5	0	0.000495567	1.65898e-05
4.75	0	0.0005889	1.85547e-05
5	0	0.000677795	2.02479e-05
