# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(1.35 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	1.00023e-05	1.33364e-05
0.75	0	0.000203894	0.000142598
1	0	0.000517789	0.000268156
1.25	0	0.000851125	0.000357046
1.5	0	0.00119	0.000421594
1.75	0	0.00147944	0.000462943
2	0	0.00177111	0.00049535
2.25	0	0.00206833	0.00052177
2.5	0	0.00238333	0.000544679
2.75	0	0.0026889	0.000563198
3	0	0.00300389	0.000579352
3.25	0	0.00333	0.000593687
3.5	0	0.00364388	0.000605644
3.75	0	0.0037372	0.000608755
4	0	0.00373942	0.00060882
4.25	0	0.00373942	0.00060882
4.5	0	0.00373942	0.00060882
4.75	0	0.00373942	0.00060882
5	0	0.00373942	0.00060882
