# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(3.65 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	8.89054e-06	1.27008e-06
2	0	7.11137e-05	8.18377e-06
2.25	0	0.000151119	1.52954e-05
2.5	0	0.000215007	1.99418e-05
2.75	0	0.000290005	2.44871e-05
3	0	0.000371116	2.86466e-05
3.25	0	0.00044556	3.19189e-05
3.5	0	0.000507227	3.42681e-05
3.75	0	0.000573334	3.64717e-05
4	0	0.000643892	3.85469e-05
4.25	0	0.000716113	4.0435e-05
4.5	0	0.000786672	4.20855e-05
4.75	0	0.000847783	4.3372e-05
5	0	0.00084945	4.34038e-05
