# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(5.85 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	0	0
2	0	0	0
2.25	0	0	0
2.5	0	0	0
2.75	0	0	0
3	0	4.66712e-05	2.3934e-06
3.25	0	0.000112777	5.29913e-06
3.5	0	0.000184438	8.02906e-06
3.75	0	0.000256656	1.04363e-05
4	0	0.000333323	1.26912e-05
4.25	0	0.000408879	1.46665e-05
4.5	0	0.000491101	1.65898e-05
4.75	0	0.000563879	1.8122e-05
5	0	0.000641105	1.9593e-05
