# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(5.45 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	0	0
2	0	0	0
2.25	0	0	0
2.5	0	0	0
2.75	0	2.44471e-05	1.48164e-06
3	0	8.50062e-05	4.58724e-06
3.25	0	0.000137228	6.8827e-06
3.5	0	0.000211113	9.69738e-06
3.75	0	0.000273335	1.17715e-05
4	0	0.000326113	1.33238e-05
4.25	0	0.000384446	1.48489e-05
4.5	0	0.000450002	1.63824e-05
4.75	0	0.00051111	1.76689e-05
5	0	0.000571108	1.88117e-05
