# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(3.05 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	2.44454e-05	4.65627e-06
1.75	0	0.000113887	1.74336e-05
2	0	0.000194447	2.63847e-05
2.25	0	0.000280554	3.40387e-05
2.5	0	0.000362775	4.00184e-05
2.75	0	0.000442219	4.48332e-05
3	0	0.000529441	4.93061e-05
3.25	0	0.000611663	5.29203e-05
3.5	0	0.000683336	5.56507e-05
3.75	0	0.000765009	5.83731e-05
4	0	0.00084333	6.06767e-05
4.25	0	0.000923326	6.27681e-05
4.5	0	0.000978884	6.40677e-05
4.75	0	0.000982217	6.41379e-05
5	0	0.000982217	6.41379e-05
