# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(5.15 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	0	0
2	0	0	0
2.25	0	0	0
2.5	0	1.2225e-05	8.89094e-07
2.75	0	6.50003e-05	4.0876e-06
3	0	0.000128335	7.33551e-06
3.25	0	0.000189446	1.00217e-05
3.5	0	0.000255554	1.25401e-05
3.75	0	0.000324443	1.48364e-05
4	0	0.00038111	1.65031e-05
4.25	0	0.000429999	1.77812e-05
4.5	0	0.000492776	1.92497e-05
4.75	0	0.000558878	2.06413e-05
5	0	0.000626659	2.19324e-05
