# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(4.75 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	0	0
2	0	0	0
2.25	0	2.22311e-06	1.9761e-07
2.5	0	4.50014e-05	3.30876e-06
2.75	0	0.00010222	6.77656e-06
3	0	0.000163332	9.91051e-06
3.25	0	0.000222221	1.2499e-05
3.5	0	0.000287221	1.49752e-05
3.75	0	0.000345554	1.69196e-05
4	0	0.000413332	1.89131e-05
4.25	0	0.000468888	2.03655e-05
4.5	0	0.000520548	2.15739e-05
4.75	0	0.000583888	2.29074e-05
5	0	0.000655552	2.42724e-05
