# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(0.45 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	1.11059e-06	1.48079e-06
0.75	0	3.33253e-06	2.96208e-06
1	0	3.88815e-06	3.18433e-06
1.25	0	5.55488e-06	3.62879e-06
1.5	0	6.66599e-06	3.84043e-06
1.75	0	7.22155e-06	3.9198e-06
2	0	7.22155e-06	3.9198e-06
2.25	0	7.77711e-06	3.96918e-06
2.5	0	9.44378e-06	4.09039e-06
2.75	0	9.44378e-06	4.09039e-06
3	0	9.44378e-06	4.09039e-06
3.25	0	1.0555e-05	4.13924e-06
3.5	0	1.0555e-05	4.13924e-06
3.75	0	1.0555e-05	4.13924e-06
4	0	1.0555e-05	4.13924e-06
4.25	0	1.0555e-05	4.13924e-06
4.5	0	1.0555e-05	4.13924e-06
4.75	0	1.0555e-05	4.13924e-06
5	0	1.0555e-05	4.13924e-06
