# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(3.45 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	3.16689e-05	4.52414e-06
2	0	0.00010056	1.21788e-05
2.25	0	0.000173897	1.86976e-05
2.5	0	0.000248897	2.41521e-05
2.75	0	0.000320563	2.84955e-05
3	0	0.000403341	3.27405e-05
3.25	0	0.000472785	3.5793e-05
3.5	0	0.000553341	3.88618e-05
3.75	0	0.000622784	4.11766e-05
4	0	0.00070833	4.36927e-05
4.25	0	0.000778886	4.55373e-05
4.5	0	0.000856666	4.73567e-05
4.75	0	0.000891664	4.80935e-05
5	0	0.00089222	4.81041e-05
