# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(4.95 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	0	0
2	0	0	0
2.25	0	0	0
2.5	0	2.11117e-05	1.5354e-06
2.75	0	8.8327e-05	5.60905e-06
3	0	0.000145553	8.54369e-06
3.25	0	0.000196662	1.07902e-05
3.5	0	0.000258884	1.31606e-05
3.75	0	0.000323328	1.53087e-05
4	0	0.000393328	1.73675e-05
4.25	0	0.000461661	1.9154e-05
4.5	0	0.000514989	2.04015e-05
4.75	0	0.000572761	2.16178e-05
5	0	0.000630536	2.27183e-05
