# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(0.65 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0.000123897	0.000165196
0.75	0	0.000278342	0.000268159
1	0	0.000430008	0.000328826
1.25	0	0.000587224	0.00037075
1.5	0	0.000741668	0.000400168
1.75	0	0.000894446	0.000421993
2	0	0.00104611	0.000438845
2.25	0	0.00120444	0.000452919
2.5	0	0.00135221	0.000463666
2.75	0	0.00150777	0.000473094
3	0	0.00165721	0.000480758
3.25	0	0.00179776	0.000486936
3.5	0	0.00183609	0.000488396
3.75	0	0.00183609	0.000488396
4	0	0.00183609	0.000488396
4.25	0	0.00183609	0.000488396
4.5	0	0.00183609	0.000488396
4.75	0	0.00183609	0.000488396
5	0	0.00183609	0.000488396
