# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(1.15 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	9.66793e-05	0.000128906
0.75	0	0.000481678	0.000385572
1	0	0.000891151	0.000549361
1.25	0	0.0013228	0.000664467
1.5	0	0.00174224	0.00074436
1.75	0	0.00219224	0.000808646
2	0	0.00261891	0.000856053
2.25	0	0.00303058	0.000892646
2.5	0	0.00348225	0.000925495
2.75	0	0.00387114	0.000949064
3	0	0.00427059	0.000969549
3.25	0	0.00467614	0.000987376
3.5	0	0.00502502	0.00100067
3.75	0	0.00506335	0.00100195
4	0	0.00506335	0.00100195
4.25	0	0.00506335	0.00100195
4.5	0	0.00506335	0.00100195
4.75	0	0.00506335	0.00100195
5	0	0.00506335	0.00100195
