# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(0.85 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0.000237789	0.000317051
0.75	0	0.000636124	0.000582608
1	0	0.00107224	0.000757054
1.25	0	0.00148334	0.00086668
1.5	0	0.00188889	0.000943928
1.75	0	0.00229278	0.00100163
2	0	0.00270389	0.00104731
2.25	0	0.00313833	0.00108593
2.5	0	0.00355109	0.00111595
2.75	0	0.00395441	0.00114039
3	0	0.00435497	0.00116093
3.25	0	0.00477108	0.00117922
3.5	0	0.00496273	0.00118652
3.75	0	0.00496606	0.00118663
4	0	0.00496606	0.00118663
4.25	0	0.00496606	0.00118663
4.5	0	0.00496606	0.00118663
4.75	0	0.00496606	0.00118663
5	0	0.00496606	0.00118663
