# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(4.55 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	0	0
2	0	0	0
2.25	0	2.00012e-05	1.77788e-06
2.5	0	7.61108e-05	5.85858e-06
2.75	0	0.000148331	1.02356e-05
3	0	0.000217772	1.37967e-05
3.25	0	0.00027166	1.61654e-05
3.5	0	0.000332216	1.84723e-05
3.75	0	0.000398883	2.06945e-05
4	0	0.000471105	2.28187e-05
4.25	0	0.000531105	2.43873e-05
4.5	0	0.00057722	2.5466e-05
4.75	0	0.000647221	2.69397e-05
5	0	0.00071333	2.81989e-05
