# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(2.65 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	1.27789e-05	3.40771e-06
1.5	0	9.55588e-05	1.91753e-05
1.75	0	0.000190012	3.26686e-05
2	0	0.000286127	4.33481e-05
2.25	0	0.000395015	5.3027e-05
2.5	0	0.000485571	5.96129e-05
2.75	0	0.000571127	6.47981e-05
3	0	0.000671127	6.99263e-05
3.25	0	0.000764461	7.40289e-05
3.5	0	0.000877236	7.83251e-05
3.75	0	0.000980012	8.1751e-05
4	0	0.0010739	8.45123e-05
4.25	0	0.0011589	8.67344e-05
4.5	0	0.00116445	8.68643e-05
4.75	0	0.00116445	8.68643e-05
5	0	0.00116445	8.68643e-05
