# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(5.35 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	0	0
2	0	0	0
2.25	0	0	0
2.5	0	5.55778e-07	4.04202e-08
2.75	0	3.50018e-05	2.12806e-06
3	0	9.99996e-05	5.46128e-06
3.25	0	0.000151665	7.73227e-06
3.5	0	0.000221105	1.03776e-05
3.75	0	0.000283883	1.24702e-05
4	0	0.000349439	1.43983e-05
4.25	0	0.000407217	1.59088e-05
4.5	0	0.000456661	1.70654e-05
4.75	0	0.000515554	1.83052e-05
5	0	0.000566676	1.9279e-05
