# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(3.75 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	4.44465e-06	6.3495e-07
2	0	6.38886e-05	7.23984e-06
2.25	0	0.000138336	1.38573e-05
2.5	0	0.000207228	1.88677e-05
2.75	0	0.000281117	2.33458e-05
3	0	0.000336673	2.61948e-05
3.25	0	0.000417229	2.97357e-05
3.5	0	0.000495562	3.27198e-05
3.75	0	0.000556674	3.47569e-05
4	0	0.00062612	3.67994e-05
4.25	0	0.000701678	3.87748e-05
4.5	0	0.000776127	4.05163e-05
4.75	0	0.000834462	4.17444e-05
5	0	0.000852794	4.20936e-05
