# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(3.85 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	1.66612e-06	2.38017e-07
2	0	4.27761e-05	4.80579e-06
2.25	0	0.000106672	1.04854e-05
2.5	0	0.000168893	1.50105e-05
2.75	0	0.000231117	1.87816e-05
3	0	0.000298339	2.22289e-05
3.25	0	0.000370006	2.53791e-05
3.5	0	0.000437228	2.79399e-05
3.75	0	0.000507784	3.02918e-05
4	0	0.000573893	3.22362e-05
4.25	0	0.000649451	3.42116e-05
4.5	0	0.000713896	3.57191e-05
4.75	0	0.000785011	3.72163e-05
5	0	0.000804455	3.75867e-05
