# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(2.25 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	1.00037e-05	4.00146e-06
1.25	0	9.16724e-05	2.57798e-05
1.5	0	0.000203902	4.71568e-05
1.75	0	0.000323351	6.42209e-05
2	0	0.000446125	7.78624e-05
2.25	0	0.000561125	8.80846e-05
2.5	0	0.000678903	9.66503e-05
2.75	0	0.000799459	0.000103957
3	0	0.000923347	0.00011031
3.25	0	0.00103723	0.000115316
3.5	0	0.00114279	0.000119337
3.75	0	0.00127612	0.000123781
4	0	0.00138278	0.000126918
4.25	0	0.00140999	0.00012763
4.5	0	0.00140999	0.00012763
4.75	0	0.00140999	0.00012763
5	0	0.00140999	0.00012763
