# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(4.15 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	0	0
2	0	1.05556e-05	1.17284e-06
2.25	0	6.83357e-05	6.30885e-06
2.5	0	0.000126112	1.05108e-05
2.75	0	0.000178889	1.37094e-05
3	0	0.000236109	1.66438e-05
3.25	0	0.000297776	1.93544e-05
3.5	0	0.000361109	2.17671e-05
3.75	0	0.00042222	2.38041e-05
4	0	0.000485552	2.56668e-05
4.25	0	0.000546113	2.72501e-05
4.5	0	0.000611114	2.87706e-05
4.75	0	0.000682224	3.02677e-05
5	0	0.000738332	3.13364e-05
