# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(2.45 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	5.83363e-05	1.55564e-05
1.5	0	0.000162225	3.53447e-05
1.75	0	0.000271108	5.08994e-05
2	0	0.000374436	6.23803e-05
2.25	0	0.000468325	7.0726e-05
2.5	0	0.000578325	7.8726e-05
2.75	0	0.000675547	8.46183e-05
3	0	0.000771103	8.95186e-05
3.25	0	0.000884436	9.45003e-05
3.5	0	0.00100222	9.89873e-05
3.75	0	0.00111167	0.000102636
4	0	0.00122	0.000105822
4.25	0	0.00128278	0.000107463
4.5	0	0.00128445	0.000107502
4.75	0	0.00128445	0.000107502
5	0	0.00128445	0.000107502
