# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(4.25 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	0	0
2	0	3.88958e-06	4.32176e-07
2.25	0	5.61112e-05	5.0741e-06
2.5	0	0.000126665	1.02053e-05
2.75	0	0.000189443	1.401e-05
3	0	0.000251107	1.71722e-05
3.25	0	0.000320551	2.02247e-05
3.5	0	0.000389995	2.28702e-05
3.75	0	0.000468328	2.54813e-05
4	0	0.000532772	2.73767e-05
4.25	0	0.000602226	2.91925e-05
4.5	0	0.000659449	3.05311e-05
4.75	0	0.000733343	3.20868e-05
5	0	0.000793339	3.32296e-05
