# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(0.75 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	5.55169e-07	2.22068e-06
0.5	0	0.000200007	0.000268156
0.75	0	0.00050446	0.000471125
1	0	0.000782235	0.000582235
1.25	0	0.00109946	0.000666827
1.5	0	0.00142557	0.000728943
1.75	0	0.00170946	0.000769499
2	0	0.00200446	0.000802277
2.25	0	0.00230224	0.000828746
2.5	0	0.00259225	0.000849837
2.75	0	0.00287393	0.000866909
3	0	0.00317726	0.000882464
3.25	0	0.00346115	0.000894943
3.5	0	0.00356336	0.000898837
3.75	0	0.00356336	0.000898837
4	0	0.00356336	0.000898837
4.25	0	0.00356336	0.000898837
4.5	0	0.00356336	0.000898837
4.75	0	0.00356336	0.000898837
5	0	0.00356336	0.000898837
