# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(2.05 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	4.05583e-05	1.62233e-05
1.25	0	0.000167784	5.01502e-05
1.5	0	0.000306129	7.65016e-05
1.75	0	0.000426125	9.36439e-05
2	0	0.000553902	0.000107841
2.25	0	0.00069668	0.000120532
2.5	0	0.000837236	0.000130754
2.75	0	0.000975014	0.000139104
3	0	0.00111669	0.000146369
3.25	0	0.00123892	0.000151742
3.5	0	0.00138614	0.000157351
3.75	0	0.00152669	0.000162036
4	0	0.00161336	0.000164585
4.25	0	0.00161892	0.00016473
4.5	0	0.00161892	0.00016473
4.75	0	0.00161892	0.00016473
5	0	0.00161892	0.00016473
