# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(4.85 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	0	0
2	0	0	0
2.25	0	5.55778e-07	4.94025e-08
2.5	0	4.22216e-05	3.07965e-06
2.75	0	0.000102773	6.74945e-06
3	0	0.000157215	9.54135e-06
3.25	0	0.000228881	1.26915e-05
3.5	0	0.000304992	1.5591e-05
3.75	0	0.000369992	1.77577e-05
4	0	0.000429436	1.95061e-05
4.25	0	0.000494992	2.122e-05
4.5	0	0.000558875	2.27143e-05
4.75	0	0.000624987	2.41061e-05
5	0	0.00068443	2.52384e-05
