# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(3.35 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	1.1118e-06	2.11772e-07
1.75	0	4.77803e-05	6.8787e-06
2	0	0.00013167	1.61998e-05
2.25	0	0.000215005	2.36073e-05
2.5	0	0.000285559	2.87385e-05
2.75	0	0.000364448	3.35196e-05
3	0	0.000446115	3.77076e-05
3.25	0	0.000521115	4.10043e-05
3.5	0	0.000591116	4.3671e-05
3.75	0	0.000664436	4.6115e-05
4	0	0.000742793	4.84196e-05
4.25	0	0.000826684	5.06128e-05
4.5	0	0.000900566	5.2341e-05
4.75	0	0.00092834	5.29257e-05
5	0	0.00092834	5.29257e-05
