# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(1.75 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	1.16679e-05	7.77861e-06
1	0	0.000144446	6.08899e-05
1.25	0	0.000354993	0.000117036
1.5	0	0.000543332	0.00015291
1.75	0	0.00072888	0.000179417
2	0	0.000908324	0.000199355
2.25	0	0.00109388	0.000215849
2.5	0	0.00127499	0.000229021
2.75	0	0.00145444	0.000239897
3	0	0.00163723	0.000249271
3.25	0	0.00182112	0.000257354
3.5	0	0.00198224	0.000263492
3.75	0	0.00212668	0.000268307
4	0	0.00217057	0.000269598
4.25	0	0.00217057	0.000269598
4.5	0	0.00217057	0.000269598
4.75	0	0.00217057	0.000269598
5	0	0.00217057	0.000269598
