# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(1.45 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	1.11205e-06	1.48273e-06
0.75	0	0.00013557	9.11212e-05
1	0	0.000394465	0.000194679
1.25	0	0.000685027	0.000272162
1.5	0	0.000943348	0.000321366
1.75	0	0.00121001	0.000359461
2	0	0.00151223	0.000393041
2.25	0	0.00177112	0.000416053
2.5	0	0.00205668	0.000436821
2.75	0	0.00232446	0.00045305
3	0	0.00257225	0.000465757
3.25	0	0.00283559	0.000477332
3.5	0	0.00312338	0.000488295
3.75	0	0.0032656	0.000493036
4	0	0.00326893	0.000493134
4.25	0	0.00326893	0.000493134
4.5	0	0.00326893	0.000493134
4.75	0	0.00326893	0.000493134
5	0	0.00326893	0.000493134
