# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(1.55 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	6.77834e-05	4.51889e-05
1	0	0.000293327	0.000135406
1.25	0	0.000535558	0.000200001
1.5	0	0.000756665	0.000242117
1.75	0	0.000989995	0.00027545
2	0	0.00121055	0.000299956
2.25	0	0.00144777	0.000321042
2.5	0	0.00169055	0.000338699
2.75	0	0.00192444	0.000352874
3	0	0.00215609	0.000364754
3.25	0	0.00238443	0.000374791
3.5	0	0.00260776	0.000383299
3.75	0	0.00276109	0.00038841
4	0	0.00277164	0.00038872
4.25	0	0.00277164	0.00038872
4.5	0	0.00277164	0.00038872
4.75	0	0.00277164	0.00038872
5	0	0.00277164	0.00038872
