# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(4.35 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	0	0
2	0	1.66733e-06	1.85259e-07
2.25	0	4.38898e-05	3.93837e-06
2.5	0	0.000105	8.38276e-06
2.75	0	0.000167785	1.21879e-05
3	0	0.00023334	1.55497e-05
3.25	0	0.000298896	1.84313e-05
3.5	0	0.000360007	2.07593e-05
3.75	0	0.000425563	2.29445e-05
4	0	0.000480563	2.45621e-05
4.25	0	0.000553908	2.64796e-05
4.5	0	0.000612798	2.78571e-05
4.75	0	0.000668355	2.90267e-05
5	0	0.000735024	3.02966e-05
