# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(2.35 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	5.55778e-07	2.22311e-07
1.25	0	7.61105e-05	2.03702e-05
1.5	0	0.000170552	3.83591e-05
1.75	0	0.000279998	5.39942e-05
2	0	0.000386105	6.57839e-05
2.25	0	0.000487216	7.47716e-05
2.5	0	0.000614438	8.40241e-05
2.75	0	0.000739994	9.16335e-05
3	0	0.000846105	9.70751e-05
3.25	0	0.000955564	0.000101887
3.5	0	0.0010828	0.000106734
3.75	0	0.00119447	0.000110456
4	0	0.00128836	0.000113217
4.25	0	0.00133391	0.000114408
4.5	0	0.00133391	0.000114408
4.75	0	0.00133391	0.000114408
5	0	0.00133391	0.000114408
